nr,file_name,rec_id,samples,dur_s,rpk_cnt,annN,annS,annV,annU,mlS,mlV,mlU,ann_nz_cnt,ann_nz_frac,ml_nz_cnt,ml_nz_frac,flags,json_ok
1,1763581.580,691e2f088d4b8afb76a3f77d,127999,639.995,1079,1079,0,0,0,1,0,2,0,0.0,0,0.0,[],True
2,1763582.203,691e22cb8d4b8afb76a3f777,76800,384.0,660,660,0,0,0,0,0,3,0,0.0,0,0.0,[],True
3,1763582.609,691e2516dfe15b8b72dc9559,127999,639.995,1074,1074,0,0,0,0,0,12,0,0.0,0,0.0,[],True
4,1763583.231,691e2780dfe15b8b72dc955b,128000,640.0,1049,1049,0,0,0,0,0,5,0,0.0,0,0.0,[],True
5,1763583.854,691e29ebdfe15b8b72dc955e,128000,640.0,1055,1055,0,0,0,0,0,6,0,0.0,0,0.0,[],True
6,1763584.475,691e2c76dfe15b8b72dc9560,128000,640.0,1095,1095,0,0,0,0,0,5,0,0.0,0,0.0,[],True
7,1763585.097,691e2ef28d4b8afb76a3f77b,128000,640.0,1016,1016,0,0,0,0,0,2,0,0.0,0,0.0,[],True
8,1763585.719,691e382f8d4b8afb76a3f783,76800,384.0,668,668,0,0,0,0,0,9,0,0.0,0,0.0,[],True
9,1763586.263,691e335fdfe15b8b72dc9564,127999,639.995,961,961,0,0,0,0,0,2,0,0.0,0,0.0,[],True
10,1763586.885,691e35c7dfe15b8b72dc9566,128000,640.0,929,929,0,0,0,0,0,2,0,0.0,0,0.0,[],True
11,1763587.507,691e38238d4b8afb76a3f781,102400,512.0,757,757,0,0,0,0,0,5,0,0.0,0,0.0,[],True
12,1763588.051,691f3c1bdfe15b8b72dc956f,127999,639.995,978,978,0,0,0,0,0,2,0,0.0,0,0.0,[],True
13,1763588.673,691e3cccdfe15b8b72dc956a,128000,640.0,926,926,0,0,0,0,0,2,0,0.0,0,0.0,[],True
14,1763589.295,691e3dd7dfe15b8b72dc956c,51200,256.0,405,405,0,0,0,0,0,5,0,0.0,0,0.0,[],True
15,1763589.563,691f3c0d8d4b8afb76a3f787,127999,639.995,939,939,0,0,0,0,0,3,0,0.0,0,0.0,[],True
16,1763590.185,691f82e98d4b8afb76a3f795,38400,192.0,102,102,0,0,0,0,0,2,0,0.0,0,0.0,[],True
