nr,file_name,rec_id,samples,dur_s,rpk_cnt,annN,annS,annV,annU,mlS,mlV,mlU,ann_nz_cnt,ann_nz_frac,ml_nz_cnt,ml_nz_frac,flags,json_ok
1,1763667.477,691f70aa8d4b8afb76a3f78b,127999,639.995,812,812,0,0,0,0,0,4,0,0.0,0,0.0,[],True
2,1763668.294,691f73ce8d4b8afb76a3f78e,127999,639.995,983,983,0,0,0,0,0,3,0,0.0,0,0.0,[],True
3,1763668.916,691f7637dfe15b8b72dc9577,128000,640.0,995,995,0,0,0,1,0,4,0,0.0,0,0.0,[],True
4,1763669.538,691f78a5dfe15b8b72dc9579,115200,576.0,974,974,0,0,0,2,1,9,0,0.0,0,0.0,[],True
5,1763670.144,691f7affdfe15b8b72dc957c,127999,639.995,969,969,0,0,0,0,0,17,0,0.0,0,0.0,[],True
6,1763670.766,691f7d71dfe15b8b72dc957e,128000,640.0,912,912,0,0,0,0,0,5,0,0.0,0,0.0,[],True
7,1763671.404,691f7fff8d4b8afb76a3f792,127999,639.995,858,858,0,0,0,0,0,2,0,0.0,0,0.0,[],True
8,1763672.026,691f82e2dfe15b8b72dc9581,115200,576.0,783,783,0,0,0,0,0,2,0,0.0,0,0.0,[],True
9,1763672.655,691f8acbdfe15b8b72dc9585,127999,639.995,829,829,0,0,0,0,0,2,0,0.0,0,0.0,[],True
10,1763673.277,691f87458d4b8afb76a3f798,128000,640.0,828,828,0,0,0,0,0,2,0,0.0,0,0.0,[],True
11,1763673.899,691f8abb8d4b8afb76a3f79a,128000,640.0,831,831,0,0,0,0,0,6,0,0.0,0,0.0,[],True
