nr,sequenceId,recordingId,file_name,channel_count,user_id,bin_bytes,samples,duration_s,flags_count,flags,rpeaks_count,ann_n_count,ann_s_count,ann_v_count,ann_u_count,json_ok,noises_count,noises_fraction,annotated_noises_count,annotated_noises_fraction,has_comment,json_keys_correct,_annotated_noises_samples
1,DATA_FOR_TRAINING,638d8f609e4d4309eebbb0f1,1001_6.npy,1,60a917b354352a3df86dc1f2,1024128,128000,640.0,1,['FULLY_ANNOTATED_PROFESSIONALLY'],720,718,0,2,0,True,0,0.0,1,0.00234375,False,True,0
2,DATA_FOR_TRAINING,638d8f5d9e4d43301ebbb0df,1001_8.npy,1,60a917b354352a3df86dc1f2,1024128,128000,640.0,1,['FULLY_ANNOTATED_PROFESSIONALLY'],739,737,0,2,0,True,0,0.0,1,0.0046875,False,True,0
3,DATA_FOR_TRAINING,613f59083d08d46e7acdce29,1004_0.npy,1,613b1c013d08d44862cdc8f2,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],612,610,2,0,0,True,0,0.0,6,0.06562551269931796,False,True,0
4,DATA_FOR_TRAINING,613f56f73d08d4485dcdcb87,1005_0.npy,1,613b1c6f3d08d4370acdc8f3,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],564,559,5,0,0,True,0,0.0,1,0.0007812561035633091,False,True,0
5,DATA_FOR_TRAINING,613f56f73d08d4bc97cdcb8a,1005_4.npy,1,613b1c6f3d08d4370acdc8f3,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],542,540,1,1,0,True,0,0.0,1,0.0031250244142532364,False,True,0
6,DATA_FOR_TRAINING,613f59533d08d413facdcebb,1006_1.npy,1,613b1c9c3d08d43181cdc8f4,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],581,580,0,1,0,True,0,0.0,1,0.0031250244142532364,False,True,0
7,DATA_FOR_TRAINING,613b221f3d08d453a1cdc914,1007_1.npy,1,613b1cc33d08d4c0d5cdc8f5,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],612,612,0,0,0,True,0,0.0,2,0.00937507324275971,False,True,0
8,DATA_FOR_TRAINING,613f58593d08d4cec1cdccf1,1008_0.npy,1,613b1d0c3d08d413ffcdc8f6,1024120,127999,639.995,2,"['FOR_EXTERNAL_ANNOTATING', 'EXTERNALLY_ANNOTATED']",747,724,2,21,0,True,0,0.0,1,0.0007812561035633091,False,True,0
9,DATA_FOR_TRAINING,613f58593d08d461c8cdcce8,1008_12.npy,1,613b1d0c3d08d413ffcdc8f6,1024120,127999,639.995,2,"['FOR_EXTERNAL_ANNOTATING', 'EXTERNALLY_ANNOTATED']",717,708,4,5,0,True,0,0.0,5,0.06093797607793811,False,True,0
10,DATA_FOR_TRAINING,613b22d43d08d443f5cdc98e,1009_12.npy,1,613b1d673d08d4d1f3cdc8f8,1024120,127999,639.995,2,"['FOR_EXTERNAL_ANNOTATING', 'EXTERNALLY_ANNOTATED']",779,776,3,0,0,True,0,0.0,2,0.0687505371135712,False,True,0
11,DATA_FOR_TRAINING,613b22d43d08d43f31cdc98d,1009_13.npy,1,613b1d673d08d4d1f3cdc8f8,1024120,127999,639.995,2,"['FOR_EXTERNAL_ANNOTATING', 'EXTERNALLY_ANNOTATED']",800,797,3,0,0,True,0,0.0,1,0.0015625122071266182,False,True,0
12,DATA_FOR_TRAINING,613f58b73d08d439a0cdcda2,1010_0.npy,1,613b1d903d08d4df57cdc8f9,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],749,748,1,0,0,True,0,0.0,3,0.012500097657012946,False,True,0
13,DATA_FOR_TRAINING,613f59b33d08d46608cdcf38,1011_0.npy,1,613b1db23d08d4ea68cdc8fa,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],604,600,0,4,0,True,0,0.0,1,0.00937507324275971,True,True,0
