filename,start_idx,end_idx,start_sec,end_sec,reason,score
1001_6.npy,24800,25800,124.000,129.000,highest local variance,0.14242494
1001_6.npy,125200,126200,626.000,631.000,flat / saturation-like,0.57057057
1001_6.npy,127000,128000,635.000,640.000,dropout-like,0.025025025
1001_6.npy,115000,116000,575.000,580.000,dropout-like,0.018018018
1001_6.npy,109800,110800,549.000,554.000,extreme amplitude,3.1270706
1001_8.npy,107600,108600,538.000,543.000,highest local variance,0.1722402
1001_8.npy,93200,94200,466.000,471.000,highest local variance,0.13788158
1001_8.npy,91400,92400,457.000,462.000,flat / saturation-like,0.61561562
1001_8.npy,87200,88200,436.000,441.000,flat / saturation-like,0.61161161
1001_8.npy,60000,61000,300.000,305.000,flat / saturation-like,0.60860861
1001_8.npy,7600,8600,38.000,43.000,dropout-like,0.024024024
1001_8.npy,26800,27800,134.000,139.000,dropout-like,0.023023023
1004_0.npy,2800,3800,14.000,19.000,highest local variance,0.16406195
1004_0.npy,1000,2000,5.000,10.000,highest local variance,0.13006758
1004_0.npy,6400,7400,32.000,37.000,flat / saturation-like,0.66266266
1004_0.npy,88800,89800,444.000,449.000,flat / saturation-like,0.65265265
1004_0.npy,95400,96400,477.000,482.000,flat / saturation-like,0.65265265
1004_0.npy,107600,108600,538.000,543.000,flat / saturation-like,0.65265265
1004_0.npy,23400,24400,117.000,122.000,sharp derivative / spike-like,0.84791865
