filename,samples,basename,quality,noni,tag,cmt,mark,rpk_cnt,hN,hS,hV,hU,mlS,mlV,mlU,h_nz_cnt,h_nz_len,h_nz_frac%,ml_nz_cnt,ml_nz_len,ml_nz_frac%,flags,recordingId,userId,notes
1000_1,127999,1626941.468,0,,,,x,861,859,2,0,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING,PSEUDO_ANNOTATED",60f945e187cf66e97e37810e,6034c808d6c2740008035ede,Truputi plaukioja amplitudė
1000_2,575999,1632923.661,1,,9999,,,4850,4849,1,0,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING,PSEUDO_ANNOTATED",615516b62312e50c3f168e38,6034c808d6c2740008035ede,"Labai ilgas, > 4000. Praleistas pikas, gydytojas pažymėjo. Kokybė nėra aiški"
1001_0,908799,1621694.321,1,,9999,,,6018,6009,0,9,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,60a92aa454352a03116dc1f5,60a917b354352a3df86dc1f2,"keliasdešimt sekundžių pradžia nenusistovėjusi, izolinija, nemažai pašokinėja, pasitaiko nedideli raumenų triukšmai,  10 pūpsnių triukšmo intervalas ties 488800, 608300, 693800, 703000, 855000,860600,864600, 867100, 876800, kažkokie triukšmai  užsideda ant izolinijos pabaigoje"
1001_1,127999,1626330.744,0,,,,,797,788,5,0,4,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING,PSEUDO_ANNOTATED",60efffba87cf660aac377fe7,60a917b354352a3df86dc1f2,"Yra S. Nedidelis, bet pastovus  BW, yra epizodų su EMG"
1001_2,127999,1626924.927,0,11,,,x,746,741,4,1,0,0,0,0,11,15698,12.264158313736825,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,60f9188487cf669c7e3780b8,60a917b354352a3df86dc1f2,"izolinija šokinėja nedaug, vietomis išlenda raumenų triušmai"
1001_3,127999,1626933.71,0,4,,,x,869,865,4,0,0,0,0,0,4,8200,6.406300049219135,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,60f9188487cf6678b43780c3,60a917b354352a3df86dc1f2,"BW nedidelis, bet nuolatinis, yra ryškių EMG epizodų"
1001_4,115199,1626934.963,0,,,,xx,764,761,2,0,1,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING,PSEUDO_ANNOTATED",60f9188487cf6632713780c5,60a917b354352a3df86dc1f2,Paskutinės 16 sekundžių diržas nuimtas
1001_5,127999,1626931.201,0,5,,,x,806,805,1,0,0,0,0,0,5,4480,3.500027343963625,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,60f9188487cf66240e3780bf,60a917b354352a3df86dc1f2,"Neaišku, kas yra ties 12300 klausimas gydytojui. Gal verta užblokuoti 3 pūpsnius pradedant reikšme 68100, gal dar 2 - ties 92700, nors dabartiniam ML nepakenkė"
1001_6,128000,1670188.752,0,1,1111,,NC,720,718,0,2,0,0,0,0,1,300,0.234375,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,638d8f609e4d4309eebbb0f1,60a917b354352a3df86dc1f2,
1001_7,128000,1670177.65,0,2,,,,801,798,3,0,0,0,0,0,2,440,0.34375,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,638d8e519e4d43245abbb0c5,60a917b354352a3df86dc1f2,
1001_8,128000,1670183.201,0,1,1111,,x,739,737,0,2,0,0,0,0,1,600,0.46875,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,638d8f5d9e4d43301ebbb0df,60a917b354352a3df86dc1f2,
1002_0,127999,1625408.182,1,,,,,1185,1166,2,17,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING,PSEUDO_ANNOTATED",60e1db5a93b55be9569e9eca,60e1d80f93b55b41529e9eaa,"Triukšminga judant, yra daug BW ir intensyvių EMG"
1002_1,127999,1625402.027,0,20,3333,,NC,765,748,4,13,0,0,0,0,20,26800,20.937663575496686,0,0,0,"AI_DATASET,FULLY_ANNOTATED_PROFESSIONALLY",60e1db5a93b55b56919e9ec0,60e1d80f93b55b41529e9eaa,"izolinija vaikšto nedaug, vietomis išlenda raumenų triušmai, 13 V, bet atpažino tik 5, 8 min."
1002_3,127999,1625403.256,1,,,,,817,808,0,9,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING,PSEUDO_ANNOTATED",60e1db5a93b55be2659e9ec2,60e1d80f93b55b41529e9eaa,"Antroje dalyje yra nemažai BW bangavimų ir epizodų su EMG, gal net EMA"
1002_4,127999,1625405.103,1,,,,,1302,1293,2,7,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING,PSEUDO_ANNOTATED",60e1db5a93b55b2f5b9e9ec5,60e1d80f93b55b41529e9eaa,"izolinija vietomis  pašokinėja, nemažai izolinijos bangavimų, yra ir raumenų triukšmų"
1002_5,127999,1625405.717,2,,3333,,NC,1293,1285,1,7,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING,PSEUDO_ANNOTATED",60e1db5a93b55b6ad19e9ec6,60e1d80f93b55b41529e9eaa,"kokybė 3-4, Pilnas triukšmų, netinkamas analizei, bet tinka demonstracijai"
1002_6,127999,1625403.874,1,,,,,1141,1136,0,5,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING,PSEUDO_ANNOTATED",60e1db5a93b55b14359e9ec3,60e1d80f93b55b41529e9eaa,"BW, kartais staigūs, yra nemažai vietų su stipriu EMG "
1003_0,127999,1630726.223,0,,,,,604,603,0,1,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f57ea3d08d45609cdcc86,613b1bc63d08d41309cdc8f1,
1003_1,127999,1630715.664,0,,,,,583,583,0,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f57ea3d08d4628bcdcc7a,613b1bc63d08d41309cdc8f1,"Pageidautina užblokuoti 2 pūpsnius ties 15600, sutrikdytas ML"
1004_0,127999,1630715.197,0,6,1111,,x,612,610,2,0,0,0,0,0,6,8600,6.718802490644459,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f59083d08d46e7acdce29,613b1c013d08d44862cdc8f2,"labai stabilus įrašas, be triukšmų"
1004_1,127999,1630714.569,0,,,,,606,605,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f59083d08d40605cdce2a,613b1c013d08d44862cdc8f2,
1004_2,127999,1630729.576,0,,,,,643,643,0,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f59083d08d45544cdce09,613b1c013d08d44862cdc8f2,
1005_0,127999,1630733.908,0,1,1111,,x,564,559,5,0,0,0,0,0,1,100,0.07812561035633091,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d4485dcdcb87,613b1c6f3d08d4370acdc8f3,"labai stabilus įrašas,  be triukšmų,  5 S, nei vieno nerado"
1005_1,127999,1630735.143,0,,,,,542,538,4,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d422c4cdcb86,613b1c6f3d08d4370acdc8f3,"Anotuoti 4 S, ML nerado nei vieno."
1005_10,127999,1630727.721,0,,,,,587,586,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d46a71cdcb7c,613b1c6f3d08d4370acdc8f3,"Didžioji dalis švari, tik pasitaiko staigių BW ir keletas EMA"
1005_11,127999,1630725.247,0,,,,,574,573,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d4301acdcb77,613b1c6f3d08d4370acdc8f3,"Švarus, išskyrus keturius trumpus epizodus su trikdžiais"
1005_12,127999,1630722.107,0,,,,,551,550,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d446e6cdcb73,613b1c6f3d08d4370acdc8f3,
