nr,FOR_EXTERNAL_ANNOTATING,NOISES_ANNOTATED,file_name,rec_id,uid,samples,dur_s,rpk_cnt,annN,annS,annV,annU,ann_nz_cnt,ann_nz_frac,nz_cnt,nz_frac,flags
1,,,659ebcdd870b3d08c130bb71.bin,659ebcdd870b3d08c130bb71,65955b5f50e02b125d4998ad,128000,640.0,496,496,0,0,0,0,0.0,0,0.0,[]
2,,,659ebcdd870b3d1d6e30bb61.bin,659ebcdd870b3d1d6e30bb61,65955b5f50e02b125d4998ad,128000,640.0,503,503,0,0,0,0,0.0,0,0.0,[]
3,,,659ebcdd870b3d277330bb79.bin,659ebcdd870b3d277330bb79,65955b5f50e02b125d4998ad,128000,640.0,469,469,0,0,0,0,0.0,1,0.8609375,[]
4,,,659ebcdd870b3d2d4530bb68.bin,659ebcdd870b3d2d4530bb68,65955b5f50e02b125d4998ad,128000,640.0,571,571,0,0,0,0,0.0,11,11.06796875,[]
5,,,659ebcdd870b3d36d630bb66.bin,659ebcdd870b3d36d630bb66,65955b5f50e02b125d4998ad,128000,640.0,472,472,0,0,0,0,0.0,0,0.0,[]
6,,,659ebcdd870b3d424b30bb69.bin,659ebcdd870b3d424b30bb69,65955b5f50e02b125d4998ad,128000,640.0,566,566,0,0,0,0,0.0,11,8.54453125,[]
7,,,659ebcdd870b3d49c730bb49.bin,659ebcdd870b3d49c730bb49,65955b5f50e02b125d4998ad,128000,640.0,724,724,0,0,0,0,0.0,6,6.5101562500000005,[]
8,,,659ebcdd870b3d4d2b30bb81.bin,659ebcdd870b3d4d2b30bb81,65955b5f50e02b125d4998ad,128000,640.0,473,473,0,0,0,0,0.0,1,0.7492187499999999,[]
9,,,659ebcdd870b3d53a530bb7b.bin,659ebcdd870b3d53a530bb7b,65955b5f50e02b125d4998ad,128000,640.0,463,463,0,0,0,0,0.0,0,0.0,[]
10,,,659ebcdd870b3d57fc30bb7d.bin,659ebcdd870b3d57fc30bb7d,65955b5f50e02b125d4998ad,128000,640.0,466,466,0,0,0,0,0.0,0,0.0,[]
11,,,659ebcdd870b3d641c30bb67.bin,659ebcdd870b3d641c30bb67,65955b5f50e02b125d4998ad,128000,640.0,473,473,0,0,0,0,0.0,1,0.027343750000000003,[]
12,,,659ebcdd870b3d693630bb6b.bin,659ebcdd870b3d693630bb6b,65955b5f50e02b125d4998ad,128000,640.0,478,478,0,0,0,0,0.0,2,0.66171875,[]
13,,,659ebcdd870b3d813c30bb75.bin,659ebcdd870b3d813c30bb75,65955b5f50e02b125d4998ad,128000,640.0,507,507,0,0,0,0,0.0,0,0.0,[]
14,,,659ebcdd870b3d99ab30bb78.bin,659ebcdd870b3d99ab30bb78,65955b5f50e02b125d4998ad,128000,640.0,465,465,0,0,0,0,0.0,0,0.0,[]
15,,,659ebcdd870b3da3dd30bb77.bin,659ebcdd870b3da3dd30bb77,65955b5f50e02b125d4998ad,128000,640.0,477,477,0,0,0,0,0.0,0,0.0,[]
16,,,659ebcdd870b3db39330bb6f.bin,659ebcdd870b3db39330bb6f,65955b5f50e02b125d4998ad,128000,640.0,483,483,0,0,0,0,0.0,2,0.17265625,[]
17,,,659ebcdd870b3dfb2430bb64.bin,659ebcdd870b3dfb2430bb64,65955b5f50e02b125d4998ad,128000,640.0,501,501,0,0,0,0,0.0,0,0.0,[]
18,,,659ebcdd870b3dfe0230bb65.bin,659ebcdd870b3dfe0230bb65,65955b5f50e02b125d4998ad,128000,640.0,655,655,0,0,0,0,0.0,8,11.08515625,[]
19,,,659ebe17870b3d0d8730bc31.bin,659ebe17870b3d0d8730bc31,65955b5f50e02b125d4998ad,128000,640.0,495,495,0,0,0,0,0.0,0,0.0,[]
20,,,659ebe17870b3d0de330bc5c.bin,659ebe17870b3d0de330bc5c,65955b5f50e02b125d4998ad,128000,640.0,741,741,0,0,0,0,0.0,6,2.00078125,[]
21,,,659ebe17870b3d0f5430bc33.bin,659ebe17870b3d0f5430bc33,65955b5f50e02b125d4998ad,128000,640.0,496,496,0,0,0,0,0.0,0,0.0,[]
22,,,659ebe17870b3d107630bc42.bin,659ebe17870b3d107630bc42,65955b5f50e02b125d4998ad,128000,640.0,707,707,0,0,0,0,0.0,5,5.66640625,[]
23,,,659ebe17870b3d16a130bc41.bin,659ebe17870b3d16a130bc41,65955b5f50e02b125d4998ad,128000,640.0,661,661,0,0,0,0,0.0,4,1.0390625,[]
24,,,659ebe17870b3d2a8030bc4b.bin,659ebe17870b3d2a8030bc4b,65955b5f50e02b125d4998ad,128000,640.0,625,625,0,0,0,0,0.0,2,2.66484375,[]
25,,,659ebe17870b3d2c3330bc4a.bin,659ebe17870b3d2c3330bc4a,65955b5f50e02b125d4998ad,128000,640.0,1004,1004,0,0,0,0,0.0,4,1.3445312500000002,[]
