nr,file_name,rec_id,samples,dur_s,rpk_cnt,annN,annS,annV,annU,mlS,mlV,mlU,ann_nz_cnt,ann_nz_frac,ml_nz_cnt,ml_nz_frac,flags,json_ok
1,1761582.990,68ffa9a4ad358145351671f1,63999,319.995,431,431,0,0,0,1,0,2,0,0.0,0,0.0,[],True
2,1761583.363,68ffa38dad358145351671ec,127999,639.995,775,775,0,0,0,0,0,3,0,0.0,0,0.0,[],True
3,1761583.986,68ffa5f58a4f5d2b04511803,128000,640.0,775,775,0,0,0,0,0,2,0,0.0,0,0.0,[],True
4,1761584.608,68ffa99b8a4f5d2b04511805,128000,640.0,861,861,0,0,0,0,0,3,0,0.0,0,0.0,[],True
5,1761585.230,68ffa9ab8a4f5d2b04511807,25600,128.0,185,185,0,0,0,0,0,3,0,0.0,0,0.0,[],True
6,1761585.416,68ffb359ad358145351671fa,127999,639.995,917,917,0,0,0,0,0,2,0,0.0,0,0.0,[],True
7,1761586.038,68ffadfd8a4f5d2b0451180b,128000,640.0,913,913,0,0,0,0,0,2,0,0.0,0,0.0,[],True
8,1761586.660,68ffb063ad358145351671f5,128000,640.0,897,897,0,0,0,0,0,2,0,0.0,0,0.0,[],True
9,1761587.282,68ffb336ad358145351671f7,128000,640.0,892,892,0,0,0,0,0,2,0,0.0,0,0.0,[],True
10,1761587.904,68ffd932ad35814535167215,128000,640.0,913,913,0,0,0,0,1,3,0,0.0,0,0.0,[],True
11,1761588.526,68ffb7b18a4f5d2b0451180f,128000,640.0,765,765,0,0,0,0,0,4,0,0.0,0,0.0,[],True
12,1761589.148,68ffba1dad358145351671fe,128000,640.0,761,761,0,0,0,0,0,2,0,0.0,0,0.0,[],True
13,1761589.770,68ffbc968a4f5d2b04511813,128000,640.0,748,748,0,0,0,0,0,2,0,0.0,0,0.0,[],True
14,1761590.393,68ffbefaad35814535167201,128000,640.0,746,746,0,0,0,0,0,2,0,0.0,0,0.0,[],True
15,1761591.015,68ffc0b58a4f5d2b04511816,64000,320.0,374,374,0,0,0,0,0,2,0,0.0,0,0.0,[],True
16,1761591.468,68ffc19a8a4f5d2b04511818,38399,191.995,289,289,0,0,0,0,0,2,0,0.0,0,0.0,[],True
17,1761591.676,68ffc404ad35814535167204,127999,639.995,949,949,0,0,0,0,0,4,0,0.0,0,0.0,[],True
18,1761592.298,68ffc66cad35814535167209,128000,640.0,1045,1045,0,0,0,0,0,2,0,0.0,0,0.0,[],True
19,1761592.920,68ffc8d58a4f5d2b0451181c,128000,640.0,1106,1106,0,0,0,0,0,5,0,0.0,0,0.0,[],True
20,1761593.542,68ffcb5cad3581453516720c,128000,640.0,1091,1091,0,0,0,0,0,2,0,0.0,0,0.0,[],True
21,1761594.164,68ffccf1ad3581453516720e,76800,384.0,634,634,0,0,0,0,0,2,0,0.0,0,0.0,[],True
22,1761594.742,68ffce968a4f5d2b0451181f,51199,255.995,406,406,0,0,0,0,0,2,0,0.0,0,0.0,[],True
23,1761595.002,68ffd0fe8a4f5d2b04511822,127999,639.995,1072,1072,0,0,0,0,0,7,0,0.0,0,0.0,[],True
24,1761595.624,68ffd3688a4f5d2b04511824,128000,640.0,1087,1087,0,0,0,1,2,4,0,0.0,0,0.0,[],True
25,1761596.246,68ffd6528a4f5d2b04511827,128000,640.0,998,998,0,0,0,0,0,3,0,0.0,0,0.0,[],True
26,1761596.997,68ffd923ad35814535167213,127999,639.995,932,932,0,0,0,0,0,3,0,0.0,0,0.0,[],True
27,1761597.619,68ffde448a4f5d2b0451182b,128000,640.0,770,770,0,0,0,0,0,2,0,0.0,0,0.0,[],True
28,1761598.241,68ffde1cad35814535167218,128000,640.0,789,789,0,0,0,1,0,2,0,0.0,0,0.0,[],True
29,1761598.863,68ffe6baad3581453516721f,128000,640.0,792,792,0,0,0,0,0,2,0,0.0,0,0.0,[],True
30,1761599.485,68ffe28c8a4f5d2b0451182e,128000,640.0,801,801,0,0,0,0,0,2,0,0.0,0,0.0,[],True
31,1761600.107,68ffe43f8a4f5d2b04511831,76800,384.0,478,478,0,0,0,0,1,3,0,0.0,0,0.0,[],True
32,1761600.569,68ffe6aaad3581453516721c,76799,383.995,479,479,0,0,0,0,0,2,0,0.0,0,0.0,[],True
33,1761601.010,691dfd858d4b8afb76a3f76e,51199,255.995,214,214,0,0,0,0,0,2,0,0.0,0,0.0,[],True
